sku,name,link,price
184535,Плита OSB-3 влагостойкая Kronospan 2500х1250х9 мм,https://glavsnab.net/plita-osb-3-vlagostoykaya-kronospan-2500h1250h9-mm.html,999.0000
060818,Стекломагниевый лист Magelan В 2500х1220х10 мм шлифованный белый,https://glavsnab.net/steklomagniyevyy-list-magelan-belyy-shlifovannyy-s-faskoy-klass-v-1220kh2500kh10-mm.html,1770.0000
054946,"Саморез по дереву черный 3,5х51 мм 500 штук",https://glavsnab.net/samorez-po-derevu-cherniy-3-5h51-mm-500-shtuk.html,317.0000
841599,"Лента-фум Aquasfera 6020-01 10х0,75 мм 8 м",https://glavsnab.net/lenta-fum-aquasfera-6020-01-10h0-75-mm-8-m.html,8
043822,Панель РПГ Ruspanel Styrofoam Real двухсторонняя с продольным пропилом 80 XPS 2500х600х80 мм,https://glavsnab.net/panel-rpg-dvustoronnyaya-ruspanel-styrofoam-real-s-prodolnym-propilom-80-xps-2500kh600kh80-mm.html,5860.0000
401459,"Гипсокартон ГКЛВ Волма влагостойкий 3000х1200х12,5 мм",https://glavsnab.net/gipsokarton-gklv-volma-vlagostoykiy-3000h1200h12-5-mm.html,585.0000
226848,Адаптер Knauf 135 градусов для соединителя Мульти CD 60х27 103х32х1 мм,https://glavsnab.net/adapter-knauf-135-gradusov-dlya-soedinitelya-multi-cd-60h27-103h32h1-mm.html,35.0000
125063,"Лента армирующая Кнауф Курт бумажная 75000x50x0,2 мм",https://glavsnab.net/lenta-armiruyuschaya-knauf-kurt-bumazhnaya-75000x50x0-2-mm.html,1250.0000
307503,Фанера ФК 1525х1525х21 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h21-mm-sort-2-2-shlifovannaya-sh2.html,3536.0000
295756,Клеящая лента Момент Хозлента малярная 25 м,https://glavsnab.net/kleyaschaya-lenta-moment-hozlenta-malyarnaya-25-m.html,258.0000
033602,Лента клейкая Зубр 12262-50-50 50 мм 50 м,https://glavsnab.net/lenta-kleykaya-zubr-12262-50-50-50-mm-50-m.html,607
307501,Фанера ФК 1525х1525х18 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h18-mm-sort-2-2-shlifovannaya-sh2.html,3032.0000
173204,Лента уплотнительная Кнауф Дихтунгсбанд 30000x30х3 мм,https://glavsnab.net/lenta-uplotnitelnaya-knauf-dihtungsband-30000x30h3-mm.html,240.0000
227577,"Шуруп самонарезающий прокалывающий Knauf LN 3,5х11 мм 1000 шт",https://glavsnab.net/shurup-samonarezayuschiy-prokalivayuschiy-knauf-ln-3-5h11-mm-1000-sht.html,989.0000
054911,"Саморез по дереву 3,5х16 мм черный 150 штук",https://glavsnab.net/samorezy-gd-3-5-16-1000-sht.html,336.0000
172880,Изолента ПВХ IEK 0.13х15 мм желтая UIZ-13-10-K05,https://glavsnab.net/izolenta-pvh-iek-0-13h15mm-zheltaya-uiz-13-10-k05.html,69.0000
060819,Стекломагниевый лист Magelan В 2500х1220х6 мм шлифованный белый,https://glavsnab.net/steklomagniyevyy-list-magelan-belyy-shlifovannyy-s-faskoy-klass-v-1220kh2500kh6-mm-1.html,1290.0000
096552,Дюбель Бабочка,https://glavsnab.net/dyubel-babochka-polipropilenovyy.html,985.0000
043819,Панель РПГ Ruspanel Styrofoam Real двухсторонняя с продольным пропилом 30 XPS 2500х600х30 мм,https://glavsnab.net/panel-rpg-dvustoronnyaya-ruspanel-styrofoam-real-s-prodolnym-propilom-30-xps-2500kh600kh30-mm.html,3845.0000
172870,Изолента ПВХ Navigator NIT-B15-20/BL черная 15 мм  20 м,https://glavsnab.net/izolenta-pvh-navigator-nit-b15-20-bl-chernaya-15-mm-20-m-99673.html,63.0000
226845,"Адаптер Knauf Z-12,5 для соединителя Мульти CD 60х27 105х28х1 мм",https://glavsnab.net/adapter-knauf-z-12-5-dlya-soyedinitelya-multi-cd-60-27-105kh28kh1-mm.html,1495.0000
307496,Фанера ФК 1525х1525х9 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h9-mm-sort-2-2-shlifovannaya-sh2.html,1615.0000
307494,Фанера ФК 1525х1525х6 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h6-mm-sort-2-2-shlifovannaya-sh2.html,1210.0000
226317,Цементно-стружечная плита Кострома 3200х1250х16 мм,https://glavsnab.net/cementno-struzhechnaya-plita-kostroma-3200h1250h16-mm.html,3295.0000
186881,Скоба Knauf  C-1 для пазогребневой плиты ,https://glavsnab.net/skoba-knauf-c-1-dlya-pazogrebnevoy-plity.html,15.0000
067938,Плита цементно-стружечная Тамак 3200х1250х10 мм,https://glavsnab.net/csp-cementno-struzhechnaja-plita-3200-1250-10mm.html,2495.0000
043821,Панель РПГ Ruspanel Styrofoam Real двухсторонняя с продольным пропилом 50 XPS 2500х600х50 мм,https://glavsnab.net/panel-rpg-dvustoronnyaya-ruspanel-styrofoam-real-s-prodolnym-propilom-50-xps-2500kh600kh50-mm.html,4690.0000
400013,"Гипсокартон ГКЛО Волма огнестойкий 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gklo-volma-ognestoykiy-2500h1200h12-5-mm.html,555.0000
174088,Лента уплотнительная Кнауф Дихтунгсбанд 30000х95х3 мм,https://glavsnab.net/lenta-uplotnitelnaya-knauf-dikhtungsband-95mmkh30m.html,799.0000
067939,Плита цементно-стружечная Тамак 3200х1250х12 мм,https://glavsnab.net/csp-cementno-struzhechnaja-plita-3200-1250-12mm.html,2830.0000
043820,Панель РПГ Ruspanel Styrofoam Real двухсторонняя с продольным пропилом 40 XPS 2500х600х40 мм,https://glavsnab.net/panel-rpg-dvustoronnyaya-ruspanel-styrofoam-real-s-prodolnym-propilom-40-xps-2500kh600kh40-mm.html,4280.0000
299466,Клеящая лента Момент Хозлента алюминиевая 25 м,https://glavsnab.net/kleyaschaya-lenta-moment-hozlenta-alyuminievaya-25-m.html,431.0000
125046,Тяга подвеса Knauf 350 мм,https://glavsnab.net/tyaga-podvesa-knauf-350-mm.html,11.0000
826742,Соединитель одноуровневый краб для ПП-профилей 60х27,https://glavsnab.net/soedinitel-odnourovneviy-krab.html,28.0000
307500,Фанера ФК 1525х1525х15 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h15-mm-sort-2-2-shlifovannaya-sh2.html,2528.0000
111595,Подвес анкерный с зажимом Металлист для ПП профиля 60х27 мм,https://glavsnab.net/podves-ankernyy-s-zazhimom-metallist-dlya-pp-profilya-60kh27.html,17.0000
228603,Изолента вулканизирующая TDM SQ0526-0602 9000х19 мм,https://glavsnab.net/izolenta-vulkaniziruyuschaya-tdm-sq0526-0602-9000h19-mm.html,366.0000
172873,Изолента ПВХ Navigator NIT-B15-20/B  синяя 15 мм 20 м,https://glavsnab.net/izolenta-pvh-navigator-nit-b15-20-b-sinyaya-15-mm-20-m-99670.html,63.0000
218794,Плита влагостойкая OSB-3 Калевала Е1 2500х1250х9 мм,https://glavsnab.net/plita-osb-3-vlagostoykaya-kalevala-e1-2500h1250h9-mm.html,821.0000
065318,Профиль угловой оцинкованный сетчатый 35х35 мм 3000 мм,https://glavsnab.net/ugolok-pu-35-35-ocinkovannyj-setchatyj-3m.html,74.0000
226837,Подвес прямой антивибрационный Knauf CD 60х27 200х91х30 с звукоизоляционной вставкой,https://glavsnab.net/podves-pryamoy-antivibratsionnyy-knauf-cd-60kh27-200kh91kh30-s-zvukoizolyatsionnoy-vstavkoy.html,140.0000
507784,Лента армированная Stayer Proffessional 12086-50-25 черная 48 мм 25 м,https://glavsnab.net/lenta-armirovannaya-stayer-proffessional-12086-50-25-chernaya-48-mm-25-m.html,250
402342,Стекломагниевый лист Magelan В 2500х1220х12 мм шлифованный белый,https://glavsnab.net/steklomagnieviy-list-magelan-v-2500h1220h12-mm-shlifovanniy-beliy.html,2180.0000
054921,"Саморез по дереву черный 3,5х35 мм 1000 штук",https://glavsnab.net/samorezy-gd-3-5-35-1000-sht.html,551.0000
252338,Изолента ПВХ Uniel UIT-135P 19 мм зеленая 20 м,https://glavsnab.net/izolenta-pvh-uniel-uit-135p-19-mm-zelenaya-20-m.html,93.0000
017096,Дюбель Driva Tech-Krep TT22 со сверловой насадкой,https://glavsnab.net/dyubel-driva-so-sverlovoy-nasadkoy-tech-krep-tt22-polipropilenovyy.html,157
307499,Фанера ФК 1525х1525х12 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h12-mm-sort-2-2-shlifovannaya-sh2.html,2025.0000
318479,Доска АЦЭИД Фибратек 3000х1200х20 мм,https://glavsnab.net/doska-aceid-fibratek-3000h1200h20-mm.html,6950.0000
404423,Лента монтажная перфорированная прямая 12 мм 25 м,https://glavsnab.net/lenta-montazhnaya-perforirovannaya-pryamaya-12-mm-25-m.html,328.0000
464656,"Гипсокартон ГКЛВО Волма 1200х2500х12,5 мм влагоогнестойкий",https://glavsnab.net/gipsokarton-gklvo-volma-1200h2500h12-5-mm-vlagoognestoykiy.html,704.0000
480220,Цементно-стружечная плита Тамак 16*1250*3200мм,https://glavsnab.net/tsementno-struzhechnaya-plita-tamak-16-1250-3200mm.html,3550.0000
307518,Фанера ФК 1525х1525х15 мм сорт 2/4 шлифованная Ш1,https://glavsnab.net/fanera-fk-1525h1525h15-mm-sort-2-4-shlifovannaya-sh2.html,1852.0000
051765,"Подвес прямой Металлист 60x27 125x60x30х0,7 мм",https://glavsnab.net/podves-pryamoy-metallist-60x27-125x60x30h0-7-mm.html,9.0000
510369,Плита негорючая Knauf Файерборд 2000х1200х20 мм,https://glavsnab.net/plita-negoryuchaya-knauf-fayerbord-2000kh1200kh20.html,5250.0000
066951,Фанера ФК 1525х1525х15 мм сорт 4/4 нешлифованная,https://glavsnab.net/fanera-fk-1525h1525h15-mm-sort-4-4-neshlifovannaya.html,1675.0000
043817,Панель РПГ Ruspanel Styrofoam Real двухсторонняя с продольным пропилом 100 XPS 2500х600х100 мм,https://glavsnab.net/panel-rpg-dvustoronnyaya-ruspanel-styrofoam-real-s-prodolnym-propilom-100-xps-2500kh600kh100-mm.html,6880.0000
066957,Фанера ФК 1525х1525х6 мм сорт 4/4 нешлифованная,https://glavsnab.net/fanera-fk-1525h1525h6-mm-sort-4-4-neshlifovannaya.html,752.0000
096845,"Саморез по дереву 4,8х152 мм черный 1200 штук",https://glavsnab.net/samorez-po-derevu-4-8h152-mm-cherniy-1200-shtuk.html,3759.0000
